Countries;Continent;NodeSusceptance;NodeConductance;NodeMinVoltage;NodeMaxVoltage
ES00233;Continent;0.0;0.0;198.0;242.00000000000003
ES00234;Continent;0.0;0.0;198.0;242.00000000000003
ES00235;Continent;0.0;0.0;118.8;145.20000000000002
ES00236;Continent;0.0;0.0;198.0;242.00000000000003
ES00237;Continent;0.0;0.0;198.0;242.00000000000003
ES00238;Continent;0.0;0.0;360.0;440.00000000000006
ES00239;Continent;0.0;0.0;198.0;242.00000000000003
ES00240;Continent;0.0;0.0;360.0;440.00000000000006
ES00241;Continent;0.0;0.0;360.0;440.00000000000006
ES00242;Continent;0.0;0.0;360.0;440.00000000000006
ES00243;Continent;0.0;0.0;198.0;242.00000000000003
ES00244;Continent;0.0;0.0;360.0;440.00000000000006
ES00245;Continent;0.0;0.0;198.0;242.00000000000003
ES00246;Continent;0.0;0.0;360.0;440.00000000000006
ES00247;Continent;0.0;0.0;118.8;145.20000000000002
ES00248;Continent;0.0;0.0;198.0;242.00000000000003
ES00249;Continent;0.0;0.0;118.8;145.20000000000002
ES00250;Continent;0.0;0.0;198.0;242.00000000000003
ES00251;Continent;0.0;0.0;360.0;440.00000000000006
ES00252;Continent;0.0;0.0;118.8;145.20000000000002
ES00253;Continent;0.0;0.0;198.0;242.00000000000003
ES00254;Continent;0.0;0.0;118.8;145.20000000000002
ES00255;Continent;0.0;0.0;198.0;242.00000000000003
ES00256;Continent;0.0;0.0;118.8;145.20000000000002
ES00257;Continent;0.0;0.0;198.0;242.00000000000003
ES00258;Continent;0.0;0.0;118.8;145.20000000000002
ES00259;Continent;0.0;0.0;198.0;242.00000000000003
ES00260;Continent;0.0;0.0;118.8;145.20000000000002
ES00261;Continent;0.0;0.0;198.0;242.00000000000003
ES00262;Continent;0.0;0.0;118.8;145.20000000000002
ES00263;Continent;0.0;0.0;198.0;242.00000000000003
ES00264;Continent;0.0;0.0;360.0;440.00000000000006
ES00265;Continent;0.0;0.0;198.0;242.00000000000003
ES00266;Continent;0.0;0.0;198.0;242.00000000000003
ES00267;Continent;0.0;0.0;360.0;440.00000000000006
ES00268;Continent;0.0;0.0;118.8;145.20000000000002
ES00269;Continent;0.0;0.0;198.0;242.00000000000003
ES00270;Continent;0.0;0.0;360.0;440.00000000000006
ES00271;Continent;0.0;0.0;360.0;440.00000000000006
ES00272;Continent;0.0;0.0;360.0;440.00000000000006
ES00273;Continent;0.0;0.0;198.0;242.00000000000003
ES00274;Continent;0.0;0.0;360.0;440.00000000000006
ES00275;Continent;0.0;0.0;198.0;242.00000000000003
ES00276;Continent;0.0;0.0;360.0;440.00000000000006
ES00277;Continent;0.0;0.0;360.0;440.00000000000006
ES00278;Continent;0.0;0.0;198.0;242.00000000000003
ES00279;Continent;0.0;0.0;198.0;242.00000000000003
ES00280;Continent;0.0;0.0;360.0;440.00000000000006
ES00281;Continent;0.0;0.0;198.0;242.00000000000003
