Name;Zone;NumberUnits;MaxPower;MinPower;MaxPowerProfile;Energy;Kappa;Capacity;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
G0228;ES00321;1;144.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;144.0;15.0;0.0;1.0595e6
G0229;ES00322;1;204.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;204.0;21.0;0.0;1.0595e6
G0230;ES00323;1;139.4;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;139.4;14.0;0.0;1.0595e6
G0235;ES00327;1;70.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;70.0;7.0;0.0;1.0595e6
G0254;ES00346;1;110.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;110.0;11.0;0.0;1.0595e6
G0266;ES00350;1;49.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;49.0;5.0;0.0;1.0595e6
G0272;ES00359;1;184.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;184.0;19.0;0.0;1.0595e6
G0274;ES00362;1;607.2;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;607.2;61.0;0.0;1.0595e6
G0276;ES00364;1;1185.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;1185.0;119.0;0.0;1.0595e6
G0279;ES00365;1;311.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;311.0;32.0;0.0;1.0595e6
G0283;ES00370;1;50.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;50.0;5.0;0.0;1.0595e6
G0288;ES00372;1;97.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;97.0;10.0;0.0;1.0595e6
G0290;ES00374;1;27.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;27.0;3.0;0.0;1.0595e6
G0294;ES00380;1;125.5;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;125.5;13.0;0.0;1.0595e6
G0295;ES00381;1;52.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;52.0;6.0;0.0;1.0595e6
G0300;ES00387;1;78.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;78.0;8.0;0.0;1.0595e6
G0304;ES00390;1;96.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;96.0;10.0;0.0;1.0595e6
G0306;ES00391;1;28.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;28.0;3.0;0.0;1.0595e6
G0328;ES00416;1;60.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;60.0;6.0;0.0;1.0595e6
G0331;ES00425;1;96.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;96.0;10.0;0.0;1.0595e6
G0333;ES00427;1;106.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;106.0;11.0;0.0;1.0595e6
