Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;Susceptance;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
LLTGES0151a;ES00186;ES00190;3105.838;-3105.838;0.7673315875603947;500.0;0.0;100.0
LLTGES0152a;ES00180;ES00185;854.105;-854.105;0.20836616672435446;500.0;0.0;100.0
LLTGES0153a;ES00822;ES00776;854.105;-854.105;0.7553889283021218;500.0;0.0;100.0
LLTGES0154a;ES00191;ES00192;854.105;-854.105;0.32839621446227907;500.0;0.0;100.0
LLTGES0155;ES00194;ES00196;1552.919;-1552.919;0.049993395994324265;500.0;0.0;100.0
LLTGES0156;ES00193;ES00197;427.053;-427.053;0.22758512583461363;500.0;0.0;100.0
LLTGES0157;ES00183;ES00968;427.053;-427.053;0.18093404115050823;500.0;0.0;100.0
LLTGES0158;ES00720;ES00198;427.053;-427.053;0.5424949349266512;500.0;0.0;100.0
LLTGES0159a;ES00056;ES00127;854.105;-854.105;0.10898005343512877;500.0;0.0;100.0
LLTGES0160;ES00056;ES00112;854.105;-854.105;0.5961371579697715;500.0;0.0;100.0
LLTGES0161;ES00199;ES00200;427.053;-427.053;0.03753430244000911;500.0;0.0;100.0
LLTGES0162;ES00200;ES00056;854.105;-854.105;0.28090506960158024;500.0;0.0;100.0
LLTGES0163a;ES00682;ES00201;854.105;-854.105;1.3369435844008266;500.0;0.0;100.0
LLTGES0164;ES00726;ES00204;427.053;-427.053;0.034328482667790886;500.0;0.0;100.0
LLTGES0165a;ES00206;ES00053;3105.838;-3105.838;0.6167006754526959;500.0;0.0;100.0
LLTGES0166a;ES00208;ES00206;3105.838;-3105.838;0.048601236268461565;500.0;0.0;100.0
LLTGES0167a;ES00209;ES00881;854.105;-854.105;25.562361333743805;500.0;0.0;100.0
LLTGES0168a;ES00209;ES00205;854.105;-854.105;0.6121255108655126;500.0;0.0;100.0
LLTGES0169a;ES00211;ES00206;3105.838;-3105.838;0.1761033584113106;500.0;0.0;100.0
LLTGES0170;ES00212;ES00755;427.053;-427.053;0.3211351926349724;500.0;0.0;100.0
LLTGES0171;ES00210;ES00213;427.053;-427.053;0.1184319928360999;500.0;0.0;100.0
LLTGES0172;ES00974;ES00215;427.053;-427.053;0.03803470023470986;500.0;0.0;100.0
LLTGES0173a;ES00740;ES00974;854.105;-854.105;1.7365734601728129;500.0;0.0;100.0
LLTGES0174;ES00216;ES00172;427.053;-427.053;0.6507729463784064;500.0;0.0;100.0
LLTGES0175;ES00741;ES00106;427.053;-427.053;0.3410133582409793;500.0;0.0;100.0
LLTGES0176;ES00217;ES00218;427.053;-427.053;0.07909146452272217;500.0;0.0;100.0
LLTGES0177;ES00742;ES00744;436.758;-436.758;0.10890576573680898;500.0;0.0;100.0
LLTGES0178;ES00885;ES00888;427.053;-427.053;0.1173446627513028;500.0;0.0;100.0
LLTGES0179;ES00219;ES00205;427.053;-427.053;0.08668733496250612;500.0;0.0;100.0
LLTGES0180;ES00098;ES00221;1552.919;-1552.919;0.10262543907418037;500.0;0.0;100.0
LLTGES0181;ES00220;ES00745;427.053;-427.053;0.6133004158767708;500.0;0.0;100.0
LLTGES0182a;ES00220;ES00222;854.105;-854.105;0.9831677436055309;500.0;0.0;100.0
LLTGES0183;ES00750;ES00043;1552.919;-1552.919;0.5434831597103473;500.0;0.0;100.0
LLTGES0184;ES00177;ES00043;1552.919;-1552.919;0.03589774948077845;500.0;0.0;100.0
LLTGES0185;ES00779;ES00226;1552.919;-1552.919;0.16099159513927894;500.0;0.0;100.0
LLTGES0186;ES00224;ES00043;1552.919;-1552.919;0.07330656821129684;500.0;0.0;100.0
LLTGES0187a;ES00227;ES00747;854.105;-854.105;58.09627575850865;500.0;0.0;100.0
LLTGES0188;ES00229;ES00004;1552.919;-1552.919;0.18083390009323974;500.0;0.0;100.0
LLTGES0189;ES00748;ES00223;427.053;-427.053;0.5120665331278808;500.0;0.0;100.0
LLTGES0190;ES00224;ES00749;1552.919;-1552.919;0.8075546143276733;500.0;0.0;100.0
LLTGES0191;ES00761;ES01044;1552.919;-1552.919;0.04531588287210386;500.0;0.0;100.0
LLTGES0192;ES00230;ES00193;427.053;-427.053;0.1913350399232321;500.0;0.0;100.0
LLTGES0193;ES00714;ES00025;427.053;-427.053;0.10872048883014547;500.0;0.0;100.0
LLTGES0194;ES00054;ES00231;427.053;-427.053;0.05852188950032922;500.0;0.0;100.0
LLTGES0195a;ES00048;ES00003;854.105;-854.105;0.2923417352898422;500.0;0.0;100.0
LLTGES0196;ES00346;ES00969;427.053;-427.053;0.03760940638792344;500.0;0.0;100.0
LLTGES0197;ES00969;ES00189;427.053;-427.053;1.0208610756287462;500.0;0.0;100.0
LLTGES0198;ES00227;ES00232;427.053;-427.053;0.3458111652292181;500.0;0.0;100.0
LLTGES0199;ES00154;ES00754;427.053;-427.053;16.81734298272619;500.0;0.0;100.0
LLTGES0200;ES00154;ES00040;427.053;-427.053;0.10092530532905798;500.0;0.0;100.0
LLTGES0201a;ES00872;ES00003;854.105;-854.105;0.35444205953610375;500.0;0.0;100.0
LLTGES0202;ES00710;ES00750;1552.919;-1552.919;0.14198762449717334;500.0;0.0;100.0
LLTGES0203;ES00730;ES00157;1552.919;-1552.919;0.042766078230464015;500.0;0.0;100.0
LLTGES0204a;ES00005;ES00233;854.105;-854.105;1.6137854377363514;500.0;0.0;100.0
LLTGES0205a;ES00756;ES00005;854.105;-854.105;6.7985003547190965;500.0;0.0;100.0
LLTGES0206a;ES00759;ES00234;854.105;-854.105;1.1640419550885157;500.0;0.0;100.0
LLTGES0207;ES00757;ES00236;427.053;-427.053;0.37284657721329933;500.0;0.0;100.0
LLTGES0208a;ES00758;ES00238;3105.838;-3105.838;0.9559596389177231;500.0;0.0;100.0
LLTGES0209a;ES00757;ES00237;854.105;-854.105;0.7626002784529774;500.0;0.0;100.0
LLTGES0210a;ES00370;ES00761;3105.838;-3105.838;1.1576505453945838;500.0;0.0;100.0
LLTGES0211a;ES00767;ES00239;854.105;-854.105;1.103728900420717;500.0;0.0;100.0
LLTGES0212a;ES00760;ES00264;3105.838;-3105.838;3.269772152706335;500.0;0.0;100.0
LLTGES0213;ES00760;ES00122;1552.919;-1552.919;0.061236368858970505;500.0;0.0;100.0
LLTGES0214;ES00240;ES00758;1552.919;-1552.919;0.055802046350867364;500.0;0.0;100.0
LLTGES0215;ES00762;ES00700;1552.919;-1552.919;0.18042661653447117;500.0;0.0;100.0
LLTGES0216a;ES00241;ES00242;3105.838;-3105.838;0.5041498913864393;500.0;0.0;100.0
LLTGES0217a;ES00242;ES00762;3105.838;-3105.838;0.22074791331304822;500.0;0.0;100.0
LLTGES0218a;ES00241;ES00244;3105.838;-3105.838;0.18335870391692655;500.0;0.0;100.0
LLTGES0219;ES00762;ES00075;1552.919;-1552.919;0.0842016162931524;500.0;0.0;100.0
LLTGES0220a;ES00159;ES00014;3105.838;-3105.838;0.03359871565713425;500.0;0.0;100.0
LLTGES0221a;ES00248;ES00121;1281.158;-1281.158;0.7132355282852624;500.0;0.0;100.0
LLTGES0222a;ES00247;ES00120;881.913;-881.913;1.1058423144103489;500.0;0.0;100.0
LLTGES0224a;ES00250;ES00253;854.105;-854.105;1.217255301606848;500.0;0.0;100.0
LLTGES0225a;ES00249;ES00252;293.971;-293.971;0.943652108296831;500.0;0.0;100.0
LLTGES0226a;ES00253;ES00255;854.105;-854.105;1.7951096442235817;500.0;0.0;100.0
LLTGES0227a;ES00252;ES00254;293.971;-293.971;1.3916217889208884;500.0;0.0;100.0
LLTGES0228a;ES00255;ES00764;854.105;-854.105;0.9234957129242705;500.0;0.0;100.0
LLTGES0229a;ES00254;ES00763;293.971;-293.971;0.7159210359188386;500.0;0.0;100.0
LLTGES0230a;ES00121;ES00257;854.105;-854.105;1.5701696150948283;500.0;0.0;100.0
LLTGES0231a;ES00257;ES00114;854.105;-854.105;0.32671729721042697;500.0;0.0;100.0
LLTGES0232a;ES00256;ES00113;293.971;-293.971;0.2532808572882599;500.0;0.0;100.0
LLTGES0233a;ES00114;ES00259;854.105;-854.105;2.0096196017094186;500.0;0.0;100.0
LLTGES0234a;ES00113;ES00258;293.971;-293.971;1.5579162165277871;500.0;0.0;100.0
LLTGES0235a;ES00261;ES00767;854.105;-854.105;0.426608166450998;500.0;0.0;100.0
LLTGES0236a;ES00260;ES00766;293.971;-293.971;0.33071919683300155;500.0;0.0;100.0
LLTGES0237a;ES00767;ES00263;854.105;-854.105;0.6377834664107735;500.0;0.0;100.0
LLTGES0238a;ES00766;ES00262;293.971;-293.971;0.4944284998561241;500.0;0.0;100.0
