Type;Zone;value;Profile_Timeserie
Total;ES00300;70227.015603264;Profile-Iberia2.csv
Total;ES00301;0.0;Profile-Iberia2.csv
Total;ES00302;863367.18936322;Profile-Iberia2.csv
Total;ES00303;0.0;Profile-Iberia2.csv
Total;ES00304;34781.367835715995;Profile-Iberia2.csv
Total;ES00305;4940.9251128;Profile-Iberia2.csv
Total;ES00306;451667.120551023;Profile-Iberia2.csv
Total;ES00307;1.176573118503211e6;Profile-Iberia2.csv
Total;ES00308;83439.186602811;Profile-Iberia2.csv
Total;ES00309;26682.596834851;Profile-Iberia2.csv
Total;ES00310;512055.747769957;Profile-Iberia2.csv
Total;ES00311;150683.347415755;Profile-Iberia2.csv
Total;ES00312;686884.892969593;Profile-Iberia2.csv
Total;ES00313;68462.00735463599;Profile-Iberia2.csv
Total;ES00314;1299.28030744;Profile-Iberia2.csv
Total;ES00315;563594.8578667201;Profile-Iberia2.csv
Total;ES00316;77981.065578898;Profile-Iberia2.csv
Total;ES00317;18894.4636258;Profile-Iberia2.csv
Total;ES00318;67509.96428429;Profile-Iberia2.csv
Total;ES00319;448374.085461955;Profile-Iberia2.csv
Total;ES00320;194968.676204555;Profile-Iberia2.csv
Total;ES00321;48397.733959074;Profile-Iberia2.csv
Total;ES00322;94323.404136017;Profile-Iberia2.csv
Total;ES00323;206164.90400877298;Profile-Iberia2.csv
Total;ES00324;52305.639728846;Profile-Iberia2.csv
Total;ES00325;5650.0393651;Profile-Iberia2.csv
Total;ES00326;0.0;Profile-Iberia2.csv
Total;ES00327;41937.703120621;Profile-Iberia2.csv
Total;ES00328;11025.5828906;Profile-Iberia2.csv
Total;ES00329;160875.14919357;Profile-Iberia2.csv
Total;ES00330;0.0;Profile-Iberia2.csv
Total;ES00331;33984.87240781;Profile-Iberia2.csv
Total;ES00332;194445.30413705102;Profile-Iberia2.csv
Total;ES00333;47659.568897083;Profile-Iberia2.csv
Total;ES00334;6633.649457;Profile-Iberia2.csv
Total;ES00335;49320.726219729;Profile-Iberia2.csv
Total;ES00336;0.0;Profile-Iberia2.csv
Total;ES00337;285877.352095948;Profile-Iberia2.csv
Total;ES00338;155422.289339916;Profile-Iberia2.csv
Total;ES00339;147277.99777898402;Profile-Iberia2.csv
Total;ES00340;73969.537629677;Profile-Iberia2.csv
Total;ES00341;298707.05889231904;Profile-Iberia2.csv
Total;ES00342;170493.025920088;Profile-Iberia2.csv
Total;ES00343;80190.75708767801;Profile-Iberia2.csv
Total;ES00344;176867.04806213302;Profile-Iberia2.csv
Total;ES00345;572997.255359152;Profile-Iberia2.csv
Total;ES00346;478982.65904268494;Profile-Iberia2.csv
Total;ES00347;334914.432614757;Profile-Iberia2.csv
Total;ES00348;0.0;Profile-Iberia2.csv
Total;ES00349;349533.16604572104;Profile-Iberia2.csv
Total;ES00350;953120.2377698971;Profile-Iberia2.csv
Total;ES00351;236109.42640420402;Profile-Iberia2.csv
Total;ES00352;494981.42030723795;Profile-Iberia2.csv
Total;ES00353;356836.127858279;Profile-Iberia2.csv
Total;ES00354;124698.88499961999;Profile-Iberia2.csv
